data,data_prazo,mes,ano,processo,cliente,area,responsavel,risco,status_prazo,valor_causa,empresa
2026-08-28,2026-07-30,Julho,2026,2000000-55.2026.8.26.4022,Pulse Varejo,Contratos,Carlos Nogueira,Baixo,Próximo,864929.21,Dobra Legal
2026-08-28,2026-09-24,Setembro,2026,2000001-55.2026.8.26.7370,Atlas Ltda,Contratos,Rafael Mendes,Baixo,Pendente,25773.48,Dobra Legal
2026-08-28,2026-10-16,Outubro,2026,2000002-55.2026.8.26.6340,Lumen Tech,Tributário,Mariana Costa,Baixo,Concluído,353880.10,Dobra Legal
2026-08-28,2026-08-20,Agosto,2026,2000003-55.2026.8.26.7431,Boa Vista,Cível,Juliana Alves,Baixo,Pendente,366430.78,Dobra Legal
2026-08-28,2026-08-16,Agosto,2026,2000004-55.2026.8.26.2388,Orbit Educação,Empresarial,Mariana Costa,Baixo,Vencido,21830.45,Dobra Legal
2026-08-28,2026-07-07,Julho,2026,2000005-55.2026.8.26.7852,Terra Nova,Trabalhista,Fernanda Lima,Baixo,Pendente,79573.45,Dobra Legal
2026-08-28,2026-10-16,Outubro,2026,2000006-55.2026.8.26.3838,Sul Minas,Trabalhista,Carlos Nogueira,Baixo,Pendente,74066.56,Dobra Legal
2026-08-28,2026-09-24,Setembro,2026,2000007-55.2026.8.26.6882,Atlas Ltda,Tributário,Rafael Mendes,Baixo,Pendente,414936.07,Dobra Legal
2026-08-28,2026-10-08,Outubro,2026,2000008-55.2026.8.26.7703,Rio Branco,Tributário,Carlos Nogueira,Baixo,Pendente,25653.98,Dobra Legal
2026-08-28,2026-07-27,Julho,2026,2000009-55.2026.8.26.5503,Verde Agro,Família,Juliana Alves,Baixo,Concluído,359191.06,Dobra Legal
2026-08-28,2026-10-05,Outubro,2026,2000010-55.2026.8.26.2854,Boa Vista,Cível,Juliana Alves,Médio,Pendente,162690.78,Dobra Legal
2026-08-28,2026-06-11,Junho,2026,2000011-55.2026.8.26.8231,Sul Minas,Trabalhista,Carlos Nogueira,Baixo,Próximo,73526.69,Dobra Legal
2026-08-28,2026-06-09,Junho,2026,2000012-55.2026.8.26.6711,Forge Engenharia,Tributário,Mariana Costa,Médio,Concluído,70716.10,Dobra Legal
2026-08-28,2026-10-29,Outubro,2026,2000013-55.2026.8.26.8015,Pulse Varejo,Família,Rafael Mendes,Médio,Pendente,89774.10,Dobra Legal
2026-08-28,2026-10-24,Outubro,2026,2000014-55.2026.8.26.5605,Terra Nova,Família,Rafael Mendes,Baixo,Concluído,146517.33,Dobra Legal
2026-08-28,2026-08-08,Agosto,2026,2000015-55.2026.8.26.9428,Helix Saúde,Trabalhista,Carlos Nogueira,Alto,Vencido,183491.05,Dobra Legal
2026-08-28,2026-07-03,Julho,2026,2000016-55.2026.8.26.3174,Verde Agro,Trabalhista,Juliana Alves,Médio,Pendente,348524.22,Dobra Legal
2026-08-28,2026-10-26,Outubro,2026,2000017-55.2026.8.26.7786,Serra Café,Tributário,Mariana Costa,Médio,Pendente,24028.51,Dobra Legal
2026-08-28,2026-08-11,Agosto,2026,2000018-55.2026.8.26.7046,Céu Soft,Tributário,Juliana Alves,Médio,Pendente,27309.32,Dobra Legal
2026-08-28,2026-09-26,Setembro,2026,2000019-55.2026.8.26.6869,Forge Engenharia,Família,Carlos Nogueira,Baixo,Pendente,395478.67,Dobra Legal
2026-08-28,2026-10-05,Outubro,2026,2000020-55.2026.8.26.5646,Aurora Moda,Família,Fernanda Lima,Baixo,Concluído,390362.51,Dobra Legal
2026-08-28,2026-06-13,Junho,2026,2000021-55.2026.8.26.8529,Atlas Ltda,Cível,Rafael Mendes,Baixo,Concluído,29918.38,Dobra Legal
2026-08-28,2026-09-18,Setembro,2026,2000022-55.2026.8.26.3161,Delta Log,Trabalhista,Juliana Alves,Baixo,Concluído,144024.91,Dobra Legal
2026-08-28,2026-09-04,Setembro,2026,2000023-55.2026.8.26.3711,Nimbus SA,Tributário,Juliana Alves,Médio,Pendente,77735.39,Dobra Legal
2026-08-28,2026-06-24,Junho,2026,2000024-55.2026.8.26.1017,Lumen Tech,Tributário,Mariana Costa,Baixo,Pendente,80622.22,Dobra Legal
