data,mes,ano,canal,status,cliente,quantidade,valor,customer_count,empresa
2026-05-01,Maio,2026,Portal,Resolvido,Helix Saúde,1,163.13,1,Redorai
2026-05-01,Maio,2026,WhatsApp,Resolvido,Terra Nova,1,127.93,1,Redorai
2026-05-01,Maio,2026,Chat,Resolvido,Aurora Moda,1,70.10,1,Redorai
2026-05-01,Maio,2026,Telefone,Resolvido,Orbit Educação,1,106.44,1,Redorai
2026-05-02,Maio,2026,Telefone,Em andamento,Forge Engenharia,1,116.67,1,Redorai
2026-05-02,Maio,2026,Chat,Resolvido,Lumen Tech,1,131.78,1,Redorai
2026-05-02,Maio,2026,Chat,Escalado,Delta Log,1,19.31,1,Redorai
2026-05-02,Maio,2026,Chat,Pendente,Serra Café,1,155.91,1,Redorai
2026-05-03,Maio,2026,E-mail,Aberto,Maré Energia,1,65.28,1,Redorai
2026-05-03,Maio,2026,Telefone,Resolvido,Helix Saúde,1,163.48,1,Redorai
2026-05-04,Maio,2026,E-mail,Resolvido,Terra Nova,1,35.44,1,Redorai
2026-05-04,Maio,2026,E-mail,Em andamento,Atlas Ltda,1,171.51,1,Redorai
2026-05-04,Maio,2026,E-mail,Resolvido,Orbit Educação,1,65.91,1,Redorai
2026-05-04,Maio,2026,Chat,Aberto,Terra Nova,1,17.77,1,Redorai
2026-05-04,Maio,2026,E-mail,Escalado,Sul Minas,1,165.91,1,Redorai
2026-05-04,Maio,2026,E-mail,Em andamento,Lumen Tech,1,43.54,1,Redorai
2026-05-05,Maio,2026,Chat,Resolvido,Delta Log,1,83.01,1,Redorai
2026-05-05,Maio,2026,E-mail,Pendente,Sul Minas,1,156.87,1,Redorai
2026-05-05,Maio,2026,E-mail,Resolvido,Atlas Ltda,1,184.11,1,Redorai
2026-05-05,Maio,2026,WhatsApp,Aberto,Helix Saúde,1,119.87,1,Redorai
2026-05-05,Maio,2026,Chat,Resolvido,Atlas Ltda,1,201.99,1,Redorai
2026-05-05,Maio,2026,Telefone,Aberto,Serra Café,1,45.21,1,Redorai
2026-05-05,Maio,2026,Chat,Resolvido,Serra Café,1,155.79,1,Redorai
2026-05-05,Maio,2026,E-mail,Resolvido,Rio Branco,1,49.76,1,Redorai
2026-05-05,Maio,2026,E-mail,Aberto,Delta Log,1,88.25,1,Redorai
2026-05-05,Maio,2026,E-mail,Resolvido,Pampa Alimentos,1,204.28,1,Redorai
2026-05-05,Maio,2026,E-mail,Resolvido,Terra Nova,1,45.98,1,Redorai
2026-05-05,Maio,2026,WhatsApp,Resolvido,Terra Nova,1,52.18,1,Redorai
2026-05-05,Maio,2026,WhatsApp,Resolvido,Terra Nova,1,182.60,1,Redorai
2026-05-06,Maio,2026,WhatsApp,Resolvido,Rio Branco,1,150.66,1,Redorai
2026-05-06,Maio,2026,E-mail,Escalado,Atlas Ltda,1,191.65,1,Redorai
2026-05-06,Maio,2026,Chat,Escalado,Aurora Moda,1,45.29,1,Redorai
2026-05-06,Maio,2026,Telefone,Resolvido,Forge Engenharia,1,38.20,1,Redorai
2026-05-06,Maio,2026,WhatsApp,Resolvido,Orbit Educação,1,33.54,1,Redorai
2026-05-06,Maio,2026,Chat,Escalado,Serra Café,1,87.28,1,Redorai
2026-05-06,Maio,2026,Telefone,Resolvido,Maré Energia,1,138.36,1,Redorai
2026-05-06,Maio,2026,Chat,Resolvido,Verde Agro,1,93.55,1,Redorai
2026-05-06,Maio,2026,Portal,Resolvido,Sul Minas,1,115.98,1,Redorai
