data,mes,ano,canal,produto,categoria,regiao,quantidade,valor,empresa
2026-03-13,Março,2026,Loja física,Caderno,Acessórios,Sudeste,3,107.95,Redorai
2026-07-02,Julho,2026,Marketplace,Moletom,Vestuário,Norte,1,181.84,Redorai
2026-07-17,Julho,2026,Loja física,Mouse pad,Acessórios,Sudeste,2,92.35,Redorai
2026-08-02,Agosto,2026,Loja física,Gift card 100,Digital,Centro-Oeste,4,394.36,Redorai
2026-03-06,Março,2026,Site,Licença anual,Digital,Centro-Oeste,3,3075.19,Redorai
2026-07-06,Julho,2026,Site,Camiseta logo,Vestuário,Centro-Oeste,2,164.82,Redorai
2026-02-16,Fevereiro,2026,App,Caderno,Acessórios,Sudeste,2,75.15,Redorai
2026-06-28,Junho,2026,App,Kit onboarding,Kits,Norte,2,467.46,Redorai
2026-08-26,Agosto,2026,WhatsApp,Moletom,Vestuário,Norte,1,181.37,Redorai
2026-03-29,Março,2026,Site,Boné,Vestuário,Norte,4,272.73,Redorai
2026-07-24,Julho,2026,WhatsApp,Kit onboarding,Kits,Sul,1,229.64,Redorai
2026-06-04,Junho,2026,Site,Mouse pad,Acessórios,Norte,1,45.76,Redorai
2026-07-25,Julho,2026,WhatsApp,Boné,Vestuário,Nordeste,3,198.19,Redorai
2026-05-09,Maio,2026,Site,Mouse pad,Acessórios,Sul,5,211.80,Redorai
2026-02-10,Fevereiro,2026,Site,Mouse pad,Acessórios,Centro-Oeste,4,186.02,Redorai
2026-03-30,Março,2026,WhatsApp,Caderno,Acessórios,Nordeste,1,40.35,Redorai
2026-01-10,Janeiro,2026,Marketplace,Garrafa,Acessórios,Nordeste,3,243.26,Redorai
2026-08-12,Agosto,2026,App,Moletom,Vestuário,Nordeste,2,395.44,Redorai
2026-04-28,Abril,2026,WhatsApp,Garrafa,Acessórios,Norte,3,236.25,Redorai
2026-02-22,Fevereiro,2026,WhatsApp,Licença anual,Digital,Centro-Oeste,2,2007.57,Redorai
2026-08-15,Agosto,2026,Loja física,Garrafa,Acessórios,Sul,1,71.88,Redorai
2026-07-05,Julho,2026,App,Gift card 100,Digital,Norte,4,412.76,Redorai
2026-01-12,Janeiro,2026,App,Caneca,Acessórios,Sudeste,2,91.87,Redorai
2026-05-01,Maio,2026,App,Camiseta logo,Vestuário,Nordeste,4,340.07,Redorai
2026-05-03,Maio,2026,Site,Gift card 100,Digital,Sudeste,5,468.15,Redorai
2026-05-10,Maio,2026,App,Mouse pad,Acessórios,Centro-Oeste,5,222.31,Redorai
2026-04-04,Abril,2026,Marketplace,Garrafa,Acessórios,Sudeste,2,148.96,Redorai
2026-04-13,Abril,2026,Loja física,Camiseta logo,Vestuário,Sul,2,183.08,Redorai
2026-06-19,Junho,2026,Marketplace,Caderno,Acessórios,Centro-Oeste,2,76.21,Redorai
2026-08-14,Agosto,2026,App,Camiseta logo,Vestuário,Sul,4,352.50,Redorai
2026-01-07,Janeiro,2026,Loja física,Caderno,Acessórios,Nordeste,3,117.81,Redorai
2026-07-05,Julho,2026,WhatsApp,Boné,Vestuário,Nordeste,4,267.40,Redorai
2026-03-01,Março,2026,Loja física,Licença anual,Digital,Norte,3,2849.93,Redorai
2026-01-31,Janeiro,2026,Loja física,Camiseta logo,Vestuário,Norte,3,264.69,Redorai
2026-03-22,Março,2026,Site,Moletom,Vestuário,Nordeste,4,792.48,Redorai
2026-06-17,Junho,2026,Marketplace,Garrafa,Acessórios,Nordeste,3,220.00,Redorai
2026-05-17,Maio,2026,Loja física,Caderno,Acessórios,Centro-Oeste,2,77.93,Redorai
2026-06-28,Junho,2026,WhatsApp,Caneca,Acessórios,Nordeste,1,46.01,Redorai
2026-04-22,Abril,2026,Site,Kit onboarding,Kits,Norte,4,1002.19,Redorai
2026-05-31,Maio,2026,App,Caderno,Acessórios,Norte,4,155.34,Redorai
2026-05-06,Maio,2026,App,Garrafa,Acessórios,Norte,4,292.99,Redorai
2026-01-29,Janeiro,2026,Marketplace,Licença anual,Digital,Norte,2,2008.59,Redorai
2026-02-20,Fevereiro,2026,App,Garrafa,Acessórios,Nordeste,1,73.75,Redorai
2026-08-16,Agosto,2026,Marketplace,Boné,Vestuário,Nordeste,4,259.19,Redorai
2026-03-21,Março,2026,WhatsApp,Licença anual,Digital,Sudeste,1,1019.66,Redorai
2026-06-03,Junho,2026,WhatsApp,Mouse pad,Acessórios,Sul,1,43.88,Redorai
2026-08-15,Agosto,2026,WhatsApp,Kit onboarding,Kits,Sudeste,3,769.88,Redorai
2026-02-12,Fevereiro,2026,Marketplace,Caneca,Acessórios,Centro-Oeste,2,102.71,Redorai
2026-08-21,Agosto,2026,Marketplace,Licença anual,Digital,Sul,2,2013.35,Redorai
2026-05-09,Maio,2026,Marketplace,Garrafa,Acessórios,Sudeste,3,213.47,Redorai
2026-03-16,Março,2026,Loja física,Caderno,Acessórios,Sul,2,75.93,Redorai
2026-07-19,Julho,2026,Loja física,Moletom,Vestuário,Centro-Oeste,2,376.12,Redorai
2026-04-18,Abril,2026,WhatsApp,Kit onboarding,Kits,Sudeste,4,902.04,Redorai
2026-02-25,Fevereiro,2026,Marketplace,Garrafa,Acessórios,Norte,1,73.36,Redorai
2026-06-27,Junho,2026,App,Camiseta logo,Vestuário,Nordeste,2,168.53,Redorai
2026-01-31,Janeiro,2026,App,Kit onboarding,Kits,Sudeste,3,764.61,Redorai
2026-03-22,Março,2026,Loja física,Boné,Vestuário,Norte,4,270.10,Redorai
2026-04-26,Abril,2026,WhatsApp,Caneca,Acessórios,Nordeste,3,148.84,Redorai
2026-02-16,Fevereiro,2026,App,Kit onboarding,Kits,Sul,1,251.26,Redorai
2026-02-07,Fevereiro,2026,Loja física,Caderno,Acessórios,Norte,1,36.09,Redorai
2026-04-08,Abril,2026,Marketplace,Camiseta logo,Vestuário,Norte,4,353.68,Redorai
2026-06-06,Junho,2026,Site,Camiseta logo,Vestuário,Sudeste,1,89.31,Redorai
2026-04-21,Abril,2026,Site,Licença anual,Digital,Norte,4,3714.13,Redorai
2026-07-03,Julho,2026,Site,Caneca,Acessórios,Nordeste,2,94.39,Redorai
2026-01-30,Janeiro,2026,Loja física,Gift card 100,Digital,Norte,3,301.53,Redorai
2026-04-22,Abril,2026,Marketplace,Moletom,Vestuário,Sudeste,1,192.35,Redorai
2026-05-12,Maio,2026,Marketplace,Caderno,Acessórios,Norte,3,122.38,Redorai
2026-04-06,Abril,2026,App,Kit onboarding,Kits,Sudeste,3,733.72,Redorai
2026-08-26,Agosto,2026,Marketplace,Caderno,Acessórios,Sul,4,140.46,Redorai
