data,mes,ano,produto,categoria,armazem,status,estoque,quantidade,valor,empresa
2026-01-01,Janeiro,2026,Camiseta logo,Vestuário,CD São Paulo,Disponível,37,37,7047.52,Redorai
2026-01-01,Janeiro,2026,Camiseta logo,Vestuário,CD Recife,Disponível,170,170,23776.82,Redorai
2026-01-01,Janeiro,2026,Camiseta logo,Vestuário,CD Curitiba,Disponível,84,84,17129.09,Redorai
2026-01-01,Janeiro,2026,Moletom,Vestuário,CD São Paulo,Disponível,12,12,479.94,Redorai
2026-01-01,Janeiro,2026,Moletom,Vestuário,CD Recife,Disponível,45,45,2276.54,Redorai
2026-01-01,Janeiro,2026,Moletom,Vestuário,CD Curitiba,Disponível,72,72,10183.69,Redorai
2026-01-01,Janeiro,2026,Caneca,Acessórios,CD São Paulo,Disponível,177,177,23647.39,Redorai
2026-01-01,Janeiro,2026,Caneca,Acessórios,CD Recife,Parado,143,143,15726.89,Redorai
2026-01-01,Janeiro,2026,Caneca,Acessórios,CD Curitiba,Disponível,148,148,3735.47,Redorai
2026-01-01,Janeiro,2026,Caderno,Acessórios,CD São Paulo,Disponível,76,76,6323.96,Redorai
2026-01-01,Janeiro,2026,Caderno,Acessórios,CD Recife,Disponível,97,97,17818.27,Redorai
2026-01-01,Janeiro,2026,Caderno,Acessórios,CD Curitiba,Disponível,109,109,20529.99,Redorai
2026-01-01,Janeiro,2026,Boné,Vestuário,CD São Paulo,Disponível,16,16,1234.44,Redorai
2026-01-01,Janeiro,2026,Boné,Vestuário,CD Recife,Disponível,34,34,1450.06,Redorai
2026-01-01,Janeiro,2026,Boné,Vestuário,CD Curitiba,Disponível,70,70,5915.01,Redorai
2026-01-01,Janeiro,2026,Garrafa,Acessórios,CD São Paulo,Disponível,105,105,13017.75,Redorai
2026-01-01,Janeiro,2026,Garrafa,Acessórios,CD Recife,Parado,178,178,5296.09,Redorai
2026-01-01,Janeiro,2026,Garrafa,Acessórios,CD Curitiba,Disponível,146,146,21177.84,Redorai
2026-01-01,Janeiro,2026,Kit onboarding,Kits,CD São Paulo,Disponível,22,22,2545.40,Redorai
2026-01-01,Janeiro,2026,Kit onboarding,Kits,CD Recife,Disponível,176,176,31189.55,Redorai
2026-01-01,Janeiro,2026,Kit onboarding,Kits,CD Curitiba,Disponível,180,180,25377.59,Redorai
2026-01-01,Janeiro,2026,Mouse pad,Acessórios,CD São Paulo,Disponível,81,81,5706.56,Redorai
2026-01-01,Janeiro,2026,Mouse pad,Acessórios,CD Recife,Disponível,147,147,13153.32,Redorai
2026-01-01,Janeiro,2026,Mouse pad,Acessórios,CD Curitiba,Disponível,33,33,4688.86,Redorai
2026-01-01,Janeiro,2026,Cabo USB-C,Acessórios,CD São Paulo,Disponível,127,127,15618.53,Redorai
2026-01-01,Janeiro,2026,Cabo USB-C,Acessórios,CD Recife,Disponível,161,161,29175.14,Redorai
2026-01-01,Janeiro,2026,Cabo USB-C,Acessórios,CD Curitiba,Parado,156,156,11961.86,Redorai
2026-01-01,Janeiro,2026,Suporte notebook,Acessórios,CD São Paulo,Disponível,49,49,897.65,Redorai
2026-01-01,Janeiro,2026,Suporte notebook,Acessórios,CD Recife,Baixo,6,6,671.44,Redorai
2026-01-01,Janeiro,2026,Suporte notebook,Acessórios,CD Curitiba,Disponível,30,30,5009.06,Redorai
2026-01-01,Janeiro,2026,Cadeira,Mobiliário,CD São Paulo,Disponível,53,53,9514.14,Redorai
2026-01-01,Janeiro,2026,Cadeira,Mobiliário,CD Recife,Disponível,106,106,10773.45,Redorai
2026-01-01,Janeiro,2026,Cadeira,Mobiliário,CD Curitiba,Disponível,85,85,7533.49,Redorai
2026-01-01,Janeiro,2026,Monitor 27,Informática,CD São Paulo,Baixo,3,3,60.85,Redorai
2026-01-01,Janeiro,2026,Monitor 27,Informática,CD Recife,Disponível,11,11,823.77,Redorai
2026-01-01,Janeiro,2026,Monitor 27,Informática,CD Curitiba,Baixo,4,4,314.63,Redorai
2026-02-01,Fevereiro,2026,Camiseta logo,Vestuário,CD São Paulo,Disponível,140,140,11680.57,Redorai
2026-02-01,Fevereiro,2026,Camiseta logo,Vestuário,CD Recife,Baixo,1,1,41.00,Redorai
2026-02-01,Fevereiro,2026,Camiseta logo,Vestuário,CD Curitiba,Disponível,85,85,7391.18,Redorai
2026-02-01,Fevereiro,2026,Moletom,Vestuário,CD São Paulo,Disponível,145,145,3462.85,Redorai
2026-02-01,Fevereiro,2026,Moletom,Vestuário,CD Recife,Disponível,44,44,2516.41,Redorai
2026-02-01,Fevereiro,2026,Moletom,Vestuário,CD Curitiba,Disponível,86,86,17569.84,Redorai
2026-02-01,Fevereiro,2026,Caneca,Acessórios,CD São Paulo,Disponível,122,122,24773.92,Redorai
2026-02-01,Fevereiro,2026,Caneca,Acessórios,CD Recife,Disponível,9,9,1335.80,Redorai
2026-02-01,Fevereiro,2026,Caneca,Acessórios,CD Curitiba,Disponível,123,123,6074.73,Redorai
2026-02-01,Fevereiro,2026,Caderno,Acessórios,CD São Paulo,Disponível,117,117,23188.91,Redorai
2026-02-01,Fevereiro,2026,Caderno,Acessórios,CD Recife,Disponível,137,137,27259.93,Redorai
2026-02-01,Fevereiro,2026,Caderno,Acessórios,CD Curitiba,Disponível,118,118,20811.16,Redorai
2026-02-01,Fevereiro,2026,Boné,Vestuário,CD São Paulo,Disponível,105,105,21568.43,Redorai
2026-02-01,Fevereiro,2026,Boné,Vestuário,CD Recife,Disponível,14,14,2613.68,Redorai
2026-02-01,Fevereiro,2026,Boné,Vestuário,CD Curitiba,Disponível,76,76,10041.00,Redorai
2026-02-01,Fevereiro,2026,Garrafa,Acessórios,CD São Paulo,Disponível,173,173,21841.05,Redorai
2026-02-01,Fevereiro,2026,Garrafa,Acessórios,CD Recife,Disponível,53,53,7135.62,Redorai
2026-02-01,Fevereiro,2026,Garrafa,Acessórios,CD Curitiba,Disponível,84,84,15078.52,Redorai
2026-02-01,Fevereiro,2026,Kit onboarding,Kits,CD São Paulo,Disponível,90,90,2823.75,Redorai
2026-02-01,Fevereiro,2026,Kit onboarding,Kits,CD Recife,Disponível,38,38,2836.81,Redorai
2026-02-01,Fevereiro,2026,Kit onboarding,Kits,CD Curitiba,Baixo,7,7,605.56,Redorai
2026-02-01,Fevereiro,2026,Mouse pad,Acessórios,CD São Paulo,Disponível,96,96,13877.30,Redorai
2026-02-01,Fevereiro,2026,Mouse pad,Acessórios,CD Recife,Disponível,42,42,5600.21,Redorai
2026-02-01,Fevereiro,2026,Mouse pad,Acessórios,CD Curitiba,Disponível,99,99,5529.20,Redorai
2026-02-01,Fevereiro,2026,Cabo USB-C,Acessórios,CD São Paulo,Disponível,29,29,5586.79,Redorai
2026-02-01,Fevereiro,2026,Cabo USB-C,Acessórios,CD Recife,Disponível,78,78,12516.17,Redorai
2026-02-01,Fevereiro,2026,Cabo USB-C,Acessórios,CD Curitiba,Disponível,80,80,12911.01,Redorai
2026-02-01,Fevereiro,2026,Suporte notebook,Acessórios,CD São Paulo,Disponível,69,69,7010.51,Redorai
2026-02-01,Fevereiro,2026,Suporte notebook,Acessórios,CD Recife,Disponível,127,127,24785.81,Redorai
2026-02-01,Fevereiro,2026,Suporte notebook,Acessórios,CD Curitiba,Disponível,95,95,10382.08,Redorai
2026-02-01,Fevereiro,2026,Cadeira,Mobiliário,CD São Paulo,Disponível,77,77,4747.84,Redorai
2026-02-01,Fevereiro,2026,Cadeira,Mobiliário,CD Recife,Disponível,77,77,4108.15,Redorai
2026-02-01,Fevereiro,2026,Cadeira,Mobiliário,CD Curitiba,Disponível,95,95,16773.08,Redorai
2026-02-01,Fevereiro,2026,Monitor 27,Informática,CD São Paulo,Baixo,1,1,107.64,Redorai
2026-02-01,Fevereiro,2026,Monitor 27,Informática,CD Recife,Disponível,12,12,1385.98,Redorai
2026-02-01,Fevereiro,2026,Monitor 27,Informática,CD Curitiba,Baixo,2,2,112.85,Redorai
2026-03-01,Março,2026,Camiseta logo,Vestuário,CD São Paulo,Disponível,123,123,20412.23,Redorai
2026-03-01,Março,2026,Camiseta logo,Vestuário,CD Recife,Disponível,134,134,10812.79,Redorai
2026-03-01,Março,2026,Camiseta logo,Vestuário,CD Curitiba,Disponível,83,83,3896.48,Redorai
2026-03-01,Março,2026,Moletom,Vestuário,CD São Paulo,Disponível,25,25,4601.80,Redorai
2026-03-01,Março,2026,Moletom,Vestuário,CD Recife,Disponível,132,132,20419.99,Redorai
2026-03-01,Março,2026,Moletom,Vestuário,CD Curitiba,Disponível,33,33,1961.78,Redorai
2026-03-01,Março,2026,Caneca,Acessórios,CD São Paulo,Disponível,9,9,997.13,Redorai
2026-03-01,Março,2026,Caneca,Acessórios,CD Recife,Disponível,133,133,5506.05,Redorai
2026-03-01,Março,2026,Caneca,Acessórios,CD Curitiba,Disponível,79,79,16300.24,Redorai
2026-03-01,Março,2026,Caderno,Acessórios,CD São Paulo,Disponível,175,175,33970.78,Redorai
2026-03-01,Março,2026,Caderno,Acessórios,CD Recife,Disponível,85,85,9546.26,Redorai
2026-03-01,Março,2026,Caderno,Acessórios,CD Curitiba,Disponível,11,11,427.09,Redorai
2026-03-01,Março,2026,Boné,Vestuário,CD São Paulo,Disponível,168,168,3786.89,Redorai
2026-03-01,Março,2026,Boné,Vestuário,CD Recife,Disponível,79,79,11616.78,Redorai
2026-03-01,Março,2026,Boné,Vestuário,CD Curitiba,Disponível,53,53,4389.35,Redorai
2026-03-01,Março,2026,Garrafa,Acessórios,CD São Paulo,Disponível,49,49,3718.44,Redorai
2026-03-01,Março,2026,Garrafa,Acessórios,CD Recife,Disponível,136,136,11215.68,Redorai
2026-03-01,Março,2026,Garrafa,Acessórios,CD Curitiba,Disponível,112,112,17199.51,Redorai
2026-03-01,Março,2026,Kit onboarding,Kits,CD São Paulo,Disponível,69,69,3323.23,Redorai
2026-03-01,Março,2026,Kit onboarding,Kits,CD Recife,Disponível,70,70,2878.47,Redorai
2026-03-01,Março,2026,Kit onboarding,Kits,CD Curitiba,Disponível,159,159,6150.09,Redorai
2026-03-01,Março,2026,Mouse pad,Acessórios,CD São Paulo,Disponível,138,138,12249.47,Redorai
