data,mes,ano,categoria,linha,natureza,valor,empresa
2025-09-01,Setembro,2025,Receita,Receita bruta vendas,Receita,48733.44,Redorai
2025-09-01,Setembro,2025,Receita,Receita serviços,Receita,18877.36,Redorai
2025-09-01,Setembro,2025,Receita,Outras receitas,Receita,2735.36,Redorai
2025-09-01,Setembro,2025,Custos variáveis,Custo do produto,Despesa,15081.30,Redorai
2025-09-01,Setembro,2025,Custos variáveis,Comissões,Despesa,5062.67,Redorai
2025-09-01,Setembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,6071.41,Redorai
2025-09-01,Setembro,2025,Custos fixos,Folha,Despesa,27374.10,Redorai
2025-09-01,Setembro,2025,Custos fixos,Aluguel,Despesa,5007.40,Redorai
2025-09-01,Setembro,2025,Custos fixos,SaaS e ferramentas,Despesa,2366.39,Redorai
2025-09-01,Setembro,2025,Custos fixos,Marketing,Despesa,3704.19,Redorai
2025-09-01,Setembro,2025,Custos fixos,Informática e publicidade,Despesa,968.48,Redorai
2025-09-01,Setembro,2025,Receita,Receita bruta vendas,Receita,21469.88,Redorai SP
2025-09-01,Setembro,2025,Receita,Receita serviços,Receita,8497.05,Redorai SP
2025-09-01,Setembro,2025,Receita,Outras receitas,Receita,1215.35,Redorai SP
2025-09-01,Setembro,2025,Custos variáveis,Custo do produto,Despesa,6960.60,Redorai SP
2025-09-01,Setembro,2025,Custos variáveis,Comissões,Despesa,2041.96,Redorai SP
2025-09-01,Setembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,2305.96,Redorai SP
2025-09-01,Setembro,2025,Custos fixos,Folha,Despesa,10798.23,Redorai SP
2025-09-01,Setembro,2025,Custos fixos,Aluguel,Despesa,2466.81,Redorai SP
2025-09-01,Setembro,2025,Custos fixos,SaaS e ferramentas,Despesa,902.39,Redorai SP
2025-09-01,Setembro,2025,Custos fixos,Marketing,Despesa,1848.74,Redorai SP
2025-09-01,Setembro,2025,Custos fixos,Informática e publicidade,Despesa,452.02,Redorai SP
2025-09-01,Setembro,2025,Receita,Receita bruta vendas,Receita,13006.44,Redorai RJ
2025-09-01,Setembro,2025,Receita,Receita serviços,Receita,5405.07,Redorai RJ
2025-09-01,Setembro,2025,Receita,Outras receitas,Receita,852.62,Redorai RJ
2025-09-01,Setembro,2025,Custos variáveis,Custo do produto,Despesa,3869.42,Redorai RJ
2025-09-01,Setembro,2025,Custos variáveis,Comissões,Despesa,1096.89,Redorai RJ
2025-09-01,Setembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,1333.20,Redorai RJ
2025-09-01,Setembro,2025,Custos fixos,Folha,Despesa,6782.16,Redorai RJ
2025-09-01,Setembro,2025,Custos fixos,Aluguel,Despesa,1406.70,Redorai RJ
2025-09-01,Setembro,2025,Custos fixos,SaaS e ferramentas,Despesa,642.10,Redorai RJ
2025-09-01,Setembro,2025,Custos fixos,Marketing,Despesa,1083.34,Redorai RJ
2025-09-01,Setembro,2025,Custos fixos,Informática e publicidade,Despesa,259.96,Redorai RJ
2025-10-01,Outubro,2025,Receita,Receita bruta vendas,Receita,51956.24,Redorai
2025-10-01,Outubro,2025,Receita,Receita serviços,Receita,20297.71,Redorai
2025-10-01,Outubro,2025,Receita,Outras receitas,Receita,2898.94,Redorai
2025-10-01,Outubro,2025,Custos variáveis,Custo do produto,Despesa,17427.75,Redorai
2025-10-01,Outubro,2025,Custos variáveis,Comissões,Despesa,5004.24,Redorai
2025-10-01,Outubro,2025,Custos variáveis,Impostos sobre vendas,Despesa,6390.36,Redorai
2025-10-01,Outubro,2025,Custos fixos,Folha,Despesa,25983.54,Redorai
2025-10-01,Outubro,2025,Custos fixos,Aluguel,Despesa,5823.63,Redorai
2025-10-01,Outubro,2025,Custos fixos,SaaS e ferramentas,Despesa,2197.85,Redorai
2025-10-01,Outubro,2025,Custos fixos,Marketing,Despesa,3933.57,Redorai
2025-10-01,Outubro,2025,Custos fixos,Informática e publicidade,Despesa,997.39,Redorai
2025-10-01,Outubro,2025,Receita,Receita bruta vendas,Receita,20273.68,Redorai SP
2025-10-01,Outubro,2025,Receita,Receita serviços,Receita,8916.75,Redorai SP
2025-10-01,Outubro,2025,Receita,Outras receitas,Receita,1211.16,Redorai SP
2025-10-01,Outubro,2025,Custos variáveis,Custo do produto,Despesa,6499.32,Redorai SP
2025-10-01,Outubro,2025,Custos variáveis,Comissões,Despesa,2109.44,Redorai SP
2025-10-01,Outubro,2025,Custos variáveis,Impostos sobre vendas,Despesa,2414.68,Redorai SP
2025-10-01,Outubro,2025,Custos fixos,Folha,Despesa,10428.78,Redorai SP
2025-10-01,Outubro,2025,Custos fixos,Aluguel,Despesa,2193.42,Redorai SP
2025-10-01,Outubro,2025,Custos fixos,SaaS e ferramentas,Despesa,972.45,Redorai SP
2025-10-01,Outubro,2025,Custos fixos,Marketing,Despesa,1923.22,Redorai SP
2025-10-01,Outubro,2025,Custos fixos,Informática e publicidade,Despesa,453.20,Redorai SP
2025-10-01,Outubro,2025,Receita,Receita bruta vendas,Receita,13760.14,Redorai RJ
2025-10-01,Outubro,2025,Receita,Receita serviços,Receita,5491.03,Redorai RJ
2025-10-01,Outubro,2025,Receita,Outras receitas,Receita,834.51,Redorai RJ
2025-10-01,Outubro,2025,Custos variáveis,Custo do produto,Despesa,3767.19,Redorai RJ
2025-10-01,Outubro,2025,Custos variáveis,Comissões,Despesa,1187.55,Redorai RJ
2025-10-01,Outubro,2025,Custos variáveis,Impostos sobre vendas,Despesa,1638.82,Redorai RJ
2025-10-01,Outubro,2025,Custos fixos,Folha,Despesa,6583.06,Redorai RJ
2025-10-01,Outubro,2025,Custos fixos,Aluguel,Despesa,1411.09,Redorai RJ
2025-10-01,Outubro,2025,Custos fixos,SaaS e ferramentas,Despesa,634.31,Redorai RJ
2025-10-01,Outubro,2025,Custos fixos,Marketing,Despesa,1123.42,Redorai RJ
2025-10-01,Outubro,2025,Custos fixos,Informática e publicidade,Despesa,277.05,Redorai RJ
2025-11-01,Novembro,2025,Receita,Receita bruta vendas,Receita,46808.77,Redorai
2025-11-01,Novembro,2025,Receita,Receita serviços,Receita,19400.10,Redorai
2025-11-01,Novembro,2025,Receita,Outras receitas,Receita,2826.50,Redorai
2025-11-01,Novembro,2025,Custos variáveis,Custo do produto,Despesa,15639.71,Redorai
2025-11-01,Novembro,2025,Custos variáveis,Comissões,Despesa,4630.81,Redorai
2025-11-01,Novembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,6579.86,Redorai
2025-11-01,Novembro,2025,Custos fixos,Folha,Despesa,28008.49,Redorai
2025-11-01,Novembro,2025,Custos fixos,Aluguel,Despesa,5419.93,Redorai
2025-11-01,Novembro,2025,Custos fixos,SaaS e ferramentas,Despesa,2554.63,Redorai
2025-11-01,Novembro,2025,Custos fixos,Marketing,Despesa,4139.64,Redorai
2025-11-01,Novembro,2025,Custos fixos,Informática e publicidade,Despesa,1154.61,Redorai
2025-11-01,Novembro,2025,Receita,Receita bruta vendas,Receita,21873.54,Redorai SP
2025-11-01,Novembro,2025,Receita,Receita serviços,Receita,9081.51,Redorai SP
2025-11-01,Novembro,2025,Receita,Outras receitas,Receita,1257.49,Redorai SP
2025-11-01,Novembro,2025,Custos variáveis,Custo do produto,Despesa,7011.19,Redorai SP
2025-11-01,Novembro,2025,Custos variáveis,Comissões,Despesa,1968.34,Redorai SP
2025-11-01,Novembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,2566.82,Redorai SP
2025-11-01,Novembro,2025,Custos fixos,Folha,Despesa,11814.37,Redorai SP
2025-11-01,Novembro,2025,Custos fixos,Aluguel,Despesa,2320.15,Redorai SP
2025-11-01,Novembro,2025,Custos fixos,SaaS e ferramentas,Despesa,974.36,Redorai SP
2025-11-01,Novembro,2025,Custos fixos,Marketing,Despesa,1971.90,Redorai SP
2025-11-01,Novembro,2025,Custos fixos,Informática e publicidade,Despesa,445.70,Redorai SP
2025-11-01,Novembro,2025,Receita,Receita bruta vendas,Receita,12803.65,Redorai RJ
2025-11-01,Novembro,2025,Receita,Receita serviços,Receita,5446.14,Redorai RJ
2025-11-01,Novembro,2025,Receita,Outras receitas,Receita,764.57,Redorai RJ
2025-11-01,Novembro,2025,Custos variáveis,Custo do produto,Despesa,4232.60,Redorai RJ
2025-11-01,Novembro,2025,Custos variáveis,Comissões,Despesa,1314.09,Redorai RJ
2025-11-01,Novembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,1474.79,Redorai RJ
2025-11-01,Novembro,2025,Custos fixos,Folha,Despesa,5856.30,Redorai RJ
2025-11-01,Novembro,2025,Custos fixos,Aluguel,Despesa,1375.57,Redorai RJ
2025-11-01,Novembro,2025,Custos fixos,SaaS e ferramentas,Despesa,684.50,Redorai RJ
2025-11-01,Novembro,2025,Custos fixos,Marketing,Despesa,1065.70,Redorai RJ
2025-11-01,Novembro,2025,Custos fixos,Informática e publicidade,Despesa,291.91,Redorai RJ
2025-12-01,Dezembro,2025,Receita,Receita bruta vendas,Receita,52420.84,Redorai
2025-12-01,Dezembro,2025,Receita,Receita serviços,Receita,19579.82,Redorai
2025-12-01,Dezembro,2025,Receita,Outras receitas,Receita,3054.18,Redorai
2025-12-01,Dezembro,2025,Custos variáveis,Custo do produto,Despesa,17345.61,Redorai
2025-12-01,Dezembro,2025,Custos variáveis,Comissões,Despesa,5045.87,Redorai
2025-12-01,Dezembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,5769.47,Redorai
2025-12-01,Dezembro,2025,Custos fixos,Folha,Despesa,27024.66,Redorai
2025-12-01,Dezembro,2025,Custos fixos,Aluguel,Despesa,5236.60,Redorai
2025-12-01,Dezembro,2025,Custos fixos,SaaS e ferramentas,Despesa,2467.22,Redorai
2025-12-01,Dezembro,2025,Custos fixos,Marketing,Despesa,4247.23,Redorai
2025-12-01,Dezembro,2025,Custos fixos,Informática e publicidade,Despesa,1178.65,Redorai
2025-12-01,Dezembro,2025,Receita,Receita bruta vendas,Receita,23643.16,Redorai SP
2025-12-01,Dezembro,2025,Receita,Receita serviços,Receita,9196.16,Redorai SP
2025-12-01,Dezembro,2025,Receita,Outras receitas,Receita,1327.62,Redorai SP
2025-12-01,Dezembro,2025,Custos variáveis,Custo do produto,Despesa,6517.26,Redorai SP
2025-12-01,Dezembro,2025,Custos variáveis,Comissões,Despesa,2291.29,Redorai SP
2025-12-01,Dezembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,2758.87,Redorai SP
2025-12-01,Dezembro,2025,Custos fixos,Folha,Despesa,10528.76,Redorai SP
2025-12-01,Dezembro,2025,Custos fixos,Aluguel,Despesa,2475.39,Redorai SP
2025-12-01,Dezembro,2025,Custos fixos,SaaS e ferramentas,Despesa,1076.12,Redorai SP
2025-12-01,Dezembro,2025,Custos fixos,Marketing,Despesa,1665.74,Redorai SP
2025-12-01,Dezembro,2025,Custos fixos,Informática e publicidade,Despesa,476.26,Redorai SP
2025-12-01,Dezembro,2025,Receita,Receita bruta vendas,Receita,13964.23,Redorai RJ
2025-12-01,Dezembro,2025,Receita,Receita serviços,Receita,6212.33,Redorai RJ
2025-12-01,Dezembro,2025,Receita,Outras receitas,Receita,830.01,Redorai RJ
2025-12-01,Dezembro,2025,Custos variáveis,Custo do produto,Despesa,3717.52,Redorai RJ
2025-12-01,Dezembro,2025,Custos variáveis,Comissões,Despesa,1203.46,Redorai RJ
2025-12-01,Dezembro,2025,Custos variáveis,Impostos sobre vendas,Despesa,1360.50,Redorai RJ
2025-12-01,Dezembro,2025,Custos fixos,Folha,Despesa,7167.57,Redorai RJ
2025-12-01,Dezembro,2025,Custos fixos,Aluguel,Despesa,1548.14,Redorai RJ
2025-12-01,Dezembro,2025,Custos fixos,SaaS e ferramentas,Despesa,670.90,Redorai RJ
2025-12-01,Dezembro,2025,Custos fixos,Marketing,Despesa,1027.65,Redorai RJ
2025-12-01,Dezembro,2025,Custos fixos,Informática e publicidade,Despesa,242.33,Redorai RJ
2026-01-01,Janeiro,2026,Receita,Receita bruta vendas,Receita,45876.43,Redorai
2026-01-01,Janeiro,2026,Receita,Receita serviços,Receita,19865.83,Redorai
2026-01-01,Janeiro,2026,Receita,Outras receitas,Receita,2404.29,Redorai
2026-01-01,Janeiro,2026,Custos variáveis,Custo do produto,Despesa,14519.76,Redorai
2026-01-01,Janeiro,2026,Custos variáveis,Comissões,Despesa,3959.27,Redorai
2026-01-01,Janeiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,5606.70,Redorai
2026-01-01,Janeiro,2026,Custos fixos,Folha,Despesa,24211.84,Redorai
2026-01-01,Janeiro,2026,Custos fixos,Aluguel,Despesa,4589.25,Redorai
2026-01-01,Janeiro,2026,Custos fixos,SaaS e ferramentas,Despesa,2172.87,Redorai
2026-01-01,Janeiro,2026,Custos fixos,Marketing,Despesa,3785.71,Redorai
2026-01-01,Janeiro,2026,Custos fixos,Informática e publicidade,Despesa,888.36,Redorai
2026-01-01,Janeiro,2026,Receita,Receita bruta vendas,Receita,20627.02,Redorai SP
2026-01-01,Janeiro,2026,Receita,Receita serviços,Receita,8240.40,Redorai SP
2026-01-01,Janeiro,2026,Receita,Outras receitas,Receita,1105.32,Redorai SP
2026-01-01,Janeiro,2026,Custos variáveis,Custo do produto,Despesa,6169.32,Redorai SP
2026-01-01,Janeiro,2026,Custos variáveis,Comissões,Despesa,1927.00,Redorai SP
2026-01-01,Janeiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,2083.27,Redorai SP
2026-01-01,Janeiro,2026,Custos fixos,Folha,Despesa,9218.15,Redorai SP
2026-01-01,Janeiro,2026,Custos fixos,Aluguel,Despesa,2323.44,Redorai SP
2026-01-01,Janeiro,2026,Custos fixos,SaaS e ferramentas,Despesa,947.50,Redorai SP
2026-01-01,Janeiro,2026,Custos fixos,Marketing,Despesa,1551.73,Redorai SP
2026-01-01,Janeiro,2026,Custos fixos,Informática e publicidade,Despesa,394.74,Redorai SP
2026-01-01,Janeiro,2026,Receita,Receita bruta vendas,Receita,11378.29,Redorai RJ
2026-01-01,Janeiro,2026,Receita,Receita serviços,Receita,4962.54,Redorai RJ
2026-01-01,Janeiro,2026,Receita,Outras receitas,Receita,702.32,Redorai RJ
2026-01-01,Janeiro,2026,Custos variáveis,Custo do produto,Despesa,3711.09,Redorai RJ
2026-01-01,Janeiro,2026,Custos variáveis,Comissões,Despesa,1028.10,Redorai RJ
2026-01-01,Janeiro,2026,Custos variáveis,Impostos sobre vendas,Despesa,1245.55,Redorai RJ
