data,mes,ano,cliente,status,valor,customer_count,empresa
2026-06-05,Junho,2026,Atlas Ltda,Em dia,11917.95,1,Redorai RJ
2026-02-24,Fevereiro,2026,Atlas Ltda,Em dia,9225.68,1,Redorai RJ
2026-02-13,Fevereiro,2026,Atlas Ltda,Em dia,10445.73,1,Redorai RJ
2026-06-08,Junho,2026,Atlas Ltda,Em dia,2446.94,1,Redorai
2026-06-22,Junho,2026,Atlas Ltda,Em dia,2636.61,1,Redorai
2026-01-12,Janeiro,2026,Atlas Ltda,Em dia,1925.03,1,Redorai
2026-02-19,Fevereiro,2026,Nimbus SA,Em dia,14237.40,1,Redorai
2026-02-07,Fevereiro,2026,Nimbus SA,Em dia,14183.26,1,Redorai
2026-07-19,Julho,2026,Nimbus SA,Em dia,4456.16,1,Redorai RJ
2026-05-13,Maio,2026,Nimbus SA,Em dia,4043.04,1,Redorai
2026-04-27,Abril,2026,Nimbus SA,Em dia,1789.06,1,Redorai RJ
2026-06-02,Junho,2026,Nimbus SA,Em dia,3684.81,1,Redorai RJ
2026-04-20,Abril,2026,Forge Engenharia,Atraso 31-60,9104.32,1,Redorai SP
2026-04-26,Abril,2026,Forge Engenharia,Atraso 31-60,3398.32,1,Redorai SP
2026-07-16,Julho,2026,Forge Engenharia,Atraso 31-60,9276.46,1,Redorai SP
2026-01-20,Janeiro,2026,Forge Engenharia,Atraso 31-60,11691.51,1,Redorai SP
2026-08-17,Agosto,2026,Forge Engenharia,Atraso 31-60,7478.57,1,Redorai SP
2026-06-27,Junho,2026,Forge Engenharia,Em dia,1718.28,1,Redorai SP
2026-04-17,Abril,2026,Helix Saúde,Em dia,804.04,1,Redorai RJ
2026-06-28,Junho,2026,Helix Saúde,Em dia,1093.25,1,Redorai SP
2026-05-03,Maio,2026,Helix Saúde,Em dia,1131.52,1,Redorai SP
2026-08-07,Agosto,2026,Helix Saúde,Em dia,5238.64,1,Redorai RJ
2026-08-18,Agosto,2026,Helix Saúde,Em dia,1555.73,1,Redorai SP
2026-06-21,Junho,2026,Orbit Educação,Em dia,14868.48,1,Redorai SP
2026-08-24,Agosto,2026,Orbit Educação,Em dia,1922.64,1,Redorai SP
2026-06-01,Junho,2026,Orbit Educação,Em dia,10070.35,1,Redorai SP
2026-02-04,Fevereiro,2026,Orbit Educação,Em dia,4365.24,1,Redorai SP
2026-03-28,Março,2026,Pulse Varejo,Em dia,4601.73,1,Redorai SP
2026-03-06,Março,2026,Pulse Varejo,Em dia,921.29,1,Redorai
2026-03-31,Março,2026,Pulse Varejo,Em dia,1676.36,1,Redorai RJ
2026-01-11,Janeiro,2026,Pulse Varejo,Em dia,1134.58,1,Redorai
2026-02-02,Fevereiro,2026,Lumen Tech,Atraso 1-30,5560.17,1,Redorai
2026-04-30,Abril,2026,Lumen Tech,Atraso 1-30,11508.71,1,Redorai RJ
2026-06-05,Junho,2026,Lumen Tech,Atraso 1-30,14373.81,1,Redorai
2026-05-29,Maio,2026,Verde Agro,Atraso 60+,1125.35,1,Redorai SP
2026-04-12,Abril,2026,Verde Agro,Atraso 60+,11149.64,1,Redorai RJ
2026-08-06,Agosto,2026,Costa Farma,Em dia,13642.55,1,Redorai RJ
2026-07-20,Julho,2026,Costa Farma,Em dia,866.51,1,Redorai SP
2026-01-18,Janeiro,2026,Costa Farma,Em dia,10001.57,1,Redorai SP
2026-07-30,Julho,2026,Costa Farma,Em dia,4178.57,1,Redorai RJ
2026-07-01,Julho,2026,Delta Log,Atraso 60+,1516.44,1,Redorai RJ
2026-03-11,Março,2026,Delta Log,Atraso 60+,10716.49,1,Redorai SP
2026-04-30,Abril,2026,Delta Log,Atraso 60+,5943.05,1,Redorai SP
2026-08-07,Agosto,2026,Delta Log,Em dia,1810.89,1,Redorai SP
2026-03-04,Março,2026,Delta Log,Atraso 60+,5316.13,1,Redorai SP
2026-02-16,Fevereiro,2026,Aurora Moda,Em dia,4439.69,1,Redorai SP
2026-03-13,Março,2026,Aurora Moda,Em dia,10240.27,1,Redorai
2026-05-13,Maio,2026,Aurora Moda,Em dia,1255.78,1,Redorai SP
2026-05-23,Maio,2026,Aurora Moda,Em dia,1706.50,1,Redorai SP
2026-01-24,Janeiro,2026,Pampa Alimentos,Em dia,2632.21,1,Redorai SP
2026-06-19,Junho,2026,Pampa Alimentos,Em dia,8762.14,1,Redorai SP
2026-03-26,Março,2026,Serra Café,Em dia,3327.63,1,Redorai SP
2026-03-01,Março,2026,Serra Café,Em dia,1032.97,1,Redorai RJ
2026-05-18,Maio,2026,Serra Café,Em dia,11067.93,1,Redorai SP
2026-03-12,Março,2026,Serra Café,Em dia,13575.44,1,Redorai RJ
2026-03-14,Março,2026,Serra Café,Em dia,1082.52,1,Redorai SP
2026-02-15,Fevereiro,2026,Serra Café,Em dia,2332.44,1,Redorai SP
2026-05-22,Maio,2026,Maré Energia,Em dia,3319.77,1,Redorai SP
2026-01-27,Janeiro,2026,Maré Energia,Em dia,967.46,1,Redorai SP
2026-03-06,Março,2026,Céu Soft,Em dia,4199.51,1,Redorai SP
2026-01-19,Janeiro,2026,Céu Soft,Em dia,9921.03,1,Redorai
2026-01-22,Janeiro,2026,Rio Branco,Atraso 31-60,1280.25,1,Redorai RJ
2026-06-02,Junho,2026,Rio Branco,Atraso 31-60,8124.31,1,Redorai SP
2026-08-21,Agosto,2026,Rio Branco,Atraso 31-60,4648.52,1,Redorai SP
