data,mes,ano,categoria,linha,natureza,valor,orcado,empresa
2025-09-01,Setembro,2025,Receita,Receita bruta,Receita,75512.99,85020.00,Redorai
2025-09-01,Setembro,2025,Receita,Receita serviços,Receita,24610.48,26160.00,Redorai
2025-09-01,Setembro,2025,Pessoal,Folha CLT,Despesa,30312.84,33790.00,Redorai
2025-09-01,Setembro,2025,Pessoal,Benefícios,Despesa,5068.83,4578.00,Redorai
2025-09-01,Setembro,2025,Operação,Infra e cloud,Despesa,6691.04,5886.00,Redorai
2025-09-01,Setembro,2025,Operação,Aluguel,Despesa,5880.65,5232.00,Redorai
2025-09-01,Setembro,2025,Aquisição,Mídia paga,Despesa,8440.21,9810.00,Redorai
2025-09-01,Setembro,2025,Aquisição,Eventos,Despesa,2233.14,1962.00,Redorai
2025-10-01,Outubro,2025,Receita,Receita bruta,Receita,86472.02,85800.00,Redorai
2025-10-01,Outubro,2025,Receita,Receita serviços,Receita,23161.92,26400.00,Redorai
2025-10-01,Outubro,2025,Pessoal,Folha CLT,Despesa,34983.21,34100.00,Redorai
2025-10-01,Outubro,2025,Pessoal,Benefícios,Despesa,4893.70,4620.00,Redorai
2025-10-01,Outubro,2025,Operação,Infra e cloud,Despesa,6055.94,5940.00,Redorai
2025-10-01,Outubro,2025,Operação,Aluguel,Despesa,5287.67,5280.00,Redorai
2025-10-01,Outubro,2025,Aquisição,Mídia paga,Despesa,8677.51,9900.00,Redorai
2025-10-01,Outubro,2025,Aquisição,Eventos,Despesa,1872.01,1980.00,Redorai
2025-11-01,Novembro,2025,Receita,Receita bruta,Receita,78088.60,86580.00,Redorai
2025-11-01,Novembro,2025,Receita,Receita serviços,Receita,25365.79,26640.00,Redorai
2025-11-01,Novembro,2025,Pessoal,Folha CLT,Despesa,39291.78,34410.00,Redorai
2025-11-01,Novembro,2025,Pessoal,Benefícios,Despesa,4732.43,4662.00,Redorai
2025-11-01,Novembro,2025,Operação,Infra e cloud,Despesa,5210.21,5994.00,Redorai
2025-11-01,Novembro,2025,Operação,Aluguel,Despesa,5656.24,5328.00,Redorai
2025-11-01,Novembro,2025,Aquisição,Mídia paga,Despesa,11146.65,9990.00,Redorai
2025-11-01,Novembro,2025,Aquisição,Eventos,Despesa,2172.09,1998.00,Redorai
2025-12-01,Dezembro,2025,Receita,Receita bruta,Receita,83816.68,87360.00,Redorai
2025-12-01,Dezembro,2025,Receita,Receita serviços,Receita,23234.42,26880.00,Redorai
2025-12-01,Dezembro,2025,Pessoal,Folha CLT,Despesa,34392.14,34720.00,Redorai
2025-12-01,Dezembro,2025,Pessoal,Benefícios,Despesa,4383.68,4704.00,Redorai
2025-12-01,Dezembro,2025,Operação,Infra e cloud,Despesa,6829.70,6048.00,Redorai
2025-12-01,Dezembro,2025,Operação,Aluguel,Despesa,4818.55,5376.00,Redorai
2025-12-01,Dezembro,2025,Aquisição,Mídia paga,Despesa,11723.64,10080.00,Redorai
2025-12-01,Dezembro,2025,Aquisição,Eventos,Despesa,2151.61,2016.00,Redorai
2026-01-01,Janeiro,2026,Receita,Receita bruta,Receita,63036.47,78780.00,Redorai
2026-01-01,Janeiro,2026,Receita,Receita serviços,Receita,24711.11,24240.00,Redorai
2026-01-01,Janeiro,2026,Pessoal,Folha CLT,Despesa,29850.82,31310.00,Redorai
2026-01-01,Janeiro,2026,Pessoal,Benefícios,Despesa,4605.67,4242.00,Redorai
2026-01-01,Janeiro,2026,Operação,Infra e cloud,Despesa,5415.59,5454.00,Redorai
2026-01-01,Janeiro,2026,Operação,Aluguel,Despesa,4917.81,4848.00,Redorai
2026-01-01,Janeiro,2026,Aquisição,Mídia paga,Despesa,9190.99,9090.00,Redorai
2026-01-01,Janeiro,2026,Aquisição,Eventos,Despesa,1829.22,1818.00,Redorai
2026-02-01,Fevereiro,2026,Receita,Receita bruta,Receita,63451.58,79560.00,Redorai
2026-02-01,Fevereiro,2026,Receita,Receita serviços,Receita,19840.45,24480.00,Redorai
2026-02-01,Fevereiro,2026,Pessoal,Folha CLT,Despesa,33257.94,31620.00,Redorai
2026-02-01,Fevereiro,2026,Pessoal,Benefícios,Despesa,4707.32,4284.00,Redorai
2026-02-01,Fevereiro,2026,Operação,Infra e cloud,Despesa,4977.48,5508.00,Redorai
2026-02-01,Fevereiro,2026,Operação,Aluguel,Despesa,4319.93,4896.00,Redorai
2026-02-01,Fevereiro,2026,Aquisição,Mídia paga,Despesa,10164.61,9180.00,Redorai
