data,mes,ano,canal,campanha,session_count,conversao,valor,quantidade,empresa
2025-11-01,Novembro,2025,Google Ads,Brand sempre-on,19603,3.26,84856.43,638,Redorai
2025-11-01,Novembro,2025,Meta Ads,Brand sempre-on,11017,2.21,97189.13,242,Redorai
2025-11-01,Novembro,2025,LinkedIn,Brand sempre-on,8565,4.24,48723.39,363,Redorai
2025-11-01,Novembro,2025,Orgânico,Brand sempre-on,3783,3.01,22552.16,113,Redorai
2025-11-01,Novembro,2025,E-mail,Brand sempre-on,5646,0.77,9202.61,43,Redorai
2025-11-01,Novembro,2025,Google Ads,Performance Q3,10595,2.06,79768.79,218,Redorai
2025-11-01,Novembro,2025,Meta Ads,Performance Q3,10610,0.49,5085.85,52,Redorai
2025-11-01,Novembro,2025,LinkedIn,Performance Q3,10406,3.09,53255.66,321,Redorai
2025-11-01,Novembro,2025,Orgânico,Performance Q3,2330,2.43,10006.13,56,Redorai
2025-11-01,Novembro,2025,E-mail,Performance Q3,15451,0.62,28115.09,95,Redorai
2025-11-01,Novembro,2025,Google Ads,Retargeting carrinho,15577,1.06,66853.64,164,Redorai
2025-11-01,Novembro,2025,Meta Ads,Retargeting carrinho,3726,2.9,10213.60,107,Redorai
2025-11-01,Novembro,2025,LinkedIn,Retargeting carrinho,9844,3.8,148365.96,374,Redorai
2025-11-01,Novembro,2025,Orgânico,Retargeting carrinho,15028,2.57,63475.73,386,Redorai
2025-11-01,Novembro,2025,E-mail,Retargeting carrinho,4294,4.56,70222.61,195,Redorai
2025-11-01,Novembro,2025,Google Ads,Lançamento Scale,7530,3.68,59948.58,277,Redorai
2025-11-01,Novembro,2025,Meta Ads,Lançamento Scale,8218,1.31,17334.96,107,Redorai
2025-11-01,Novembro,2025,LinkedIn,Lançamento Scale,14974,3.6,82145.06,538,Redorai
2025-11-01,Novembro,2025,Orgânico,Lançamento Scale,3902,3.89,15089.88,151,Redorai
2025-11-01,Novembro,2025,E-mail,Lançamento Scale,17589,1.44,60327.01,252,Redorai
2025-11-01,Novembro,2025,Google Ads,Parceiros 2026,7099,2.96,63895.89,210,Redorai
2025-11-01,Novembro,2025,Meta Ads,Parceiros 2026,2274,2.46,21148.21,56,Redorai
2025-11-01,Novembro,2025,LinkedIn,Parceiros 2026,17559,2.15,60393.64,377,Redorai
2025-11-01,Novembro,2025,Orgânico,Parceiros 2026,7396,2.26,48037.07,167,Redorai
2025-11-01,Novembro,2025,E-mail,Parceiros 2026,2056,2.85,6283.09,58,Redorai
2025-11-01,Novembro,2025,Google Ads,ABM enterprise,23540,2.47,120413.31,581,Redorai
2025-11-01,Novembro,2025,Meta Ads,ABM enterprise,11229,3.35,133502.90,376,Redorai
2025-11-01,Novembro,2025,LinkedIn,ABM enterprise,13004,3.96,47297.30,515,Redorai
2025-11-01,Novembro,2025,E-mail,ABM enterprise,9478,2.08,81186.08,196,Redorai
2025-12-01,Dezembro,2025,Google Ads,Brand sempre-on,17283,0.98,65235.79,169,Redorai
2025-12-01,Dezembro,2025,Meta Ads,Brand sempre-on,1507,1.19,2617.59,17,Redorai
2025-12-01,Dezembro,2025,LinkedIn,Brand sempre-on,9276,1.89,42913.17,175,Redorai
2025-12-01,Dezembro,2025,Orgânico,Brand sempre-on,2341,3.53,19216.90,82,Redorai
2025-12-01,Dezembro,2025,E-mail,Brand sempre-on,5278,1.78,38757.11,93,Redorai
2025-12-01,Dezembro,2025,Google Ads,Performance Q3,13140,4.68,112438.37,615,Redorai
2025-12-01,Dezembro,2025,Meta Ads,Performance Q3,7002,2.29,62266.20,160,Redorai
2025-12-01,Dezembro,2025,LinkedIn,Performance Q3,5327,4.05,85398.91,215,Redorai
2025-12-01,Dezembro,2025,Orgânico,Performance Q3,9691,2.32,32439.43,224,Redorai
2025-12-01,Dezembro,2025,E-mail,Performance Q3,13474,2.56,139274.28,345,Redorai
2025-12-01,Dezembro,2025,Google Ads,Retargeting carrinho,14500,4.46,194095.62,646,Redorai
2025-12-01,Dezembro,2025,Meta Ads,Retargeting carrinho,8367,1.23,11126.74,103,Redorai
2025-12-01,Dezembro,2025,LinkedIn,Retargeting carrinho,3950,2.47,14041.56,97,Redorai
2025-12-01,Dezembro,2025,Orgânico,Retargeting carrinho,8834,0.91,30999.92,80,Redorai
2025-12-01,Dezembro,2025,E-mail,Retargeting carrinho,9312,2.34,90818.46,218,Redorai
2025-12-01,Dezembro,2025,Google Ads,Lançamento Scale,14625,2.41,44882.75,353,Redorai
2025-12-01,Dezembro,2025,Meta Ads,Lançamento Scale,13179,1.05,28457.79,138,Redorai
2025-12-01,Dezembro,2025,LinkedIn,Lançamento Scale,4304,1.65,25960.58,71,Redorai
2025-12-01,Dezembro,2025,Orgânico,Lançamento Scale,13698,4.02,151885.51,550,Redorai
2025-12-01,Dezembro,2025,E-mail,Lançamento Scale,12205,1.33,68302.76,162,Redorai
2025-12-01,Dezembro,2025,Google Ads,Parceiros 2026,1219,3.77,6882.03,46,Redorai
2025-12-01,Dezembro,2025,Meta Ads,Parceiros 2026,16631,1.48,62742.78,246,Redorai
2025-12-01,Dezembro,2025,LinkedIn,Parceiros 2026,2422,1.85,8218.71,44,Redorai
2025-12-01,Dezembro,2025,Orgânico,Parceiros 2026,17678,0.94,35318.31,165,Redorai
2025-12-01,Dezembro,2025,E-mail,Parceiros 2026,16781,0.87,28618.32,145,Redorai
2025-12-01,Dezembro,2025,Google Ads,ABM enterprise,1815,2.43,14240.50,44,Redorai
2025-12-01,Dezembro,2025,Meta Ads,ABM enterprise,9053,3.16,51248.89,286,Redorai
2025-12-01,Dezembro,2025,LinkedIn,ABM enterprise,12117,1.85,23411.75,224,Redorai
2025-12-01,Dezembro,2025,E-mail,ABM enterprise,11504,2.39,110875.33,275,Redorai
2026-01-01,Janeiro,2026,Google Ads,Brand sempre-on,25195,4.39,390486.18,1106,Redorai
