data,mes,ano,vendedor,cliente,produto,status,quantidade,valor,customer_count,empresa
2026-06-26,Junho,2026,Ana Costa,Atlas Ltda,Plano Start,Proposta,1,24274.09,1,Redorai
2026-05-08,Maio,2026,Ana Costa,Nimbus SA,Add-on API,Ganho,1,14468.22,1,Redorai
2026-07-18,Julho,2026,Fábio Nunes,Forge Engenharia,Plano Pro,Lead,1,18705.08,1,Redorai
2026-05-16,Maio,2026,Carla Souza,Helix Saúde,Plano Start,Ganho,1,4531.84,1,Redorai
2026-06-21,Junho,2026,Bruno Lima,Orbit Educação,Plano Pro,Ganho,1,5330.30,1,Redorai
2026-07-29,Julho,2026,Diego Alves,Pulse Varejo,Plano Pro,Negociação,1,78400.21,1,Redorai
2026-08-05,Agosto,2026,Ana Costa,Lumen Tech,Plano Scale,Lead,1,9850.21,1,Redorai
2026-07-15,Julho,2026,Fábio Nunes,Verde Agro,Plano Scale,Qualificado,1,32935.92,1,Redorai
2026-05-14,Maio,2026,Fábio Nunes,Costa Farma,Plano Start,Proposta,1,50095.25,1,Redorai
2026-04-04,Abril,2026,Carla Souza,Delta Log,Plano Pro,Perdido,1,28868.67,1,Redorai
2026-08-27,Agosto,2026,Carla Souza,Aurora Moda,Plano Pro,Ganho,1,6880.78,1,Redorai
2026-08-21,Agosto,2026,Carla Souza,Pampa Alimentos,Add-on API,Qualificado,1,8799.54,1,Redorai
2026-06-05,Junho,2026,Ana Costa,Serra Café,Add-on API,Proposta,1,85589.35,1,Redorai
2026-07-10,Julho,2026,Carla Souza,Maré Energia,Add-on API,Negociação,1,91117.11,1,Redorai
2026-07-03,Julho,2026,Fábio Nunes,Céu Soft,Plano Start,Qualificado,1,5558.82,1,Redorai
2026-06-26,Junho,2026,Ana Costa,Rio Branco,Add-on API,Negociação,1,68570.69,1,Redorai
2026-04-25,Abril,2026,Carla Souza,Casa Norte,Plano Scale,Perdido,1,8431.48,1,Redorai
2026-05-26,Maio,2026,Diego Alves,Sul Minas,Plano Scale,Proposta,1,8749.33,1,Redorai
2026-08-22,Agosto,2026,Diego Alves,Boa Vista,Plano Start,Negociação,1,3673.96,1,Redorai
2026-04-01,Abril,2026,Ana Costa,Terra Nova,Add-on API,Perdido,1,8193.72,1,Redorai
2026-04-21,Abril,2026,Carla Souza,Atlas Ltda 20,Plano Pro,Perdido,1,10155.56,1,Redorai
2026-05-10,Maio,2026,Carla Souza,Nimbus SA 21,Plano Pro,Lead,1,12295.40,1,Redorai
2026-03-14,Março,2026,Bruno Lima,Forge Engenharia 22,Add-on API,Qualificado,1,15838.61,1,Redorai
2026-08-15,Agosto,2026,Diego Alves,Helix Saúde 23,Plano Start,Lead,1,3432.66,1,Redorai
2026-04-03,Abril,2026,Ana Costa,Orbit Educação 24,Plano Start,Proposta,1,43679.64,1,Redorai
2026-08-26,Agosto,2026,Diego Alves,Pulse Varejo 25,Plano Pro,Qualificado,1,5850.98,1,Redorai
2026-07-01,Julho,2026,Ana Costa,Lumen Tech 26,Plano Start,Lead,1,18542.17,1,Redorai
2026-05-20,Maio,2026,Bruno Lima,Verde Agro 27,Plano Pro,Qualificado,1,11451.61,1,Redorai
2026-03-18,Março,2026,Bruno Lima,Costa Farma 28,Add-on API,Proposta,1,4925.28,1,Redorai
2026-05-29,Maio,2026,Diego Alves,Delta Log 29,Add-on API,Negociação,1,83782.48,1,Redorai
2026-04-25,Abril,2026,Ana Costa,Aurora Moda 30,Add-on API,Lead,1,3773.03,1,Redorai
