data,mes,ano,produto,status,quantidade,valor,empresa
2026-06-01,Junho,2026,Kit onboarding,Concluído,65,5054.95,Redorai
2026-06-01,Junho,2026,Camiseta logo,Em linha,76,2342.05,Redorai
2026-06-01,Junho,2026,Moletom,Concluído,44,3729.98,Redorai
2026-06-01,Junho,2026,Caneca,Concluído,50,1298.43,Redorai
2026-06-01,Junho,2026,Caderno,Concluído,89,4759.73,Redorai
2026-06-02,Junho,2026,Kit onboarding,Parado,0,0.00,Redorai
2026-06-02,Junho,2026,Camiseta logo,Concluído,27,1820.44,Redorai
2026-06-02,Junho,2026,Moletom,Concluído,71,5172.17,Redorai
2026-06-02,Junho,2026,Caneca,Concluído,86,5565.83,Redorai
2026-06-02,Junho,2026,Caderno,Concluído,88,5147.89,Redorai
2026-06-03,Junho,2026,Kit onboarding,Concluído,29,896.69,Redorai
2026-06-03,Junho,2026,Camiseta logo,Concluído,22,1756.37,Redorai
2026-06-03,Junho,2026,Moletom,Concluído,25,1571.84,Redorai
2026-06-03,Junho,2026,Caneca,Concluído,21,528.09,Redorai
2026-06-03,Junho,2026,Caderno,Em linha,59,1659.64,Redorai
2026-06-04,Junho,2026,Kit onboarding,Em linha,41,1067.20,Redorai
2026-06-04,Junho,2026,Camiseta logo,Concluído,33,1962.96,Redorai
2026-06-04,Junho,2026,Moletom,Concluído,48,1668.79,Redorai
2026-06-04,Junho,2026,Caneca,Em linha,63,5284.32,Redorai
2026-06-04,Junho,2026,Caderno,Concluído,71,5926.99,Redorai
2026-06-05,Junho,2026,Kit onboarding,Concluído,89,6647.85,Redorai
2026-06-05,Junho,2026,Camiseta logo,Em linha,47,2790.13,Redorai
2026-06-05,Junho,2026,Moletom,Concluído,62,2433.83,Redorai
2026-06-05,Junho,2026,Caneca,Concluído,73,3307.30,Redorai
2026-06-05,Junho,2026,Caderno,Concluído,41,3293.02,Redorai
2026-06-08,Junho,2026,Kit onboarding,Concluído,25,1795.91,Redorai
2026-06-08,Junho,2026,Camiseta logo,Em linha,68,1562.96,Redorai
2026-06-08,Junho,2026,Moletom,Concluído,82,1841.32,Redorai
2026-06-08,Junho,2026,Caneca,Em linha,31,1841.56,Redorai
2026-06-08,Junho,2026,Caderno,Concluído,56,4080.55,Redorai
2026-06-09,Junho,2026,Kit onboarding,Concluído,80,2799.05,Redorai
2026-06-09,Junho,2026,Camiseta logo,Concluído,54,2589.73,Redorai
2026-06-09,Junho,2026,Moletom,Concluído,42,1023.55,Redorai
2026-06-09,Junho,2026,Caneca,Em linha,43,2604.04,Redorai
2026-06-09,Junho,2026,Caderno,Concluído,31,2210.38,Redorai
2026-06-10,Junho,2026,Kit onboarding,Concluído,64,3656.69,Redorai
2026-06-10,Junho,2026,Camiseta logo,Concluído,44,2437.71,Redorai
2026-06-10,Junho,2026,Moletom,Concluído,32,2443.27,Redorai
2026-06-10,Junho,2026,Caneca,Concluído,89,4560.86,Redorai
2026-06-10,Junho,2026,Caderno,Concluído,46,1573.40,Redorai
2026-06-11,Junho,2026,Kit onboarding,Concluído,39,3237.79,Redorai
2026-06-11,Junho,2026,Camiseta logo,Concluído,80,2565.19,Redorai
2026-06-11,Junho,2026,Moletom,Concluído,25,1123.60,Redorai
2026-06-11,Junho,2026,Caneca,Concluído,46,1980.79,Redorai
2026-06-11,Junho,2026,Caderno,Concluído,78,5354.41,Redorai
2026-06-12,Junho,2026,Kit onboarding,Concluído,88,6290.77,Redorai
2026-06-12,Junho,2026,Camiseta logo,Concluído,82,2170.06,Redorai
2026-06-12,Junho,2026,Moletom,Em linha,50,2967.03,Redorai
2026-06-12,Junho,2026,Caneca,Concluído,61,4213.05,Redorai
2026-06-12,Junho,2026,Caderno,Concluído,61,1765.24,Redorai
2026-06-15,Junho,2026,Kit onboarding,Concluído,49,3355.43,Redorai
2026-06-15,Junho,2026,Camiseta logo,Concluído,45,1615.58,Redorai
2026-06-15,Junho,2026,Moletom,Concluído,80,2033.87,Redorai
2026-06-15,Junho,2026,Caneca,Concluído,75,6034.27,Redorai
2026-06-15,Junho,2026,Caderno,Concluído,78,3551.31,Redorai
2026-06-16,Junho,2026,Kit onboarding,Em linha,78,4821.75,Redorai
2026-06-16,Junho,2026,Camiseta logo,Concluído,54,1620.77,Redorai
2026-06-16,Junho,2026,Moletom,Concluído,27,783.00,Redorai
2026-06-16,Junho,2026,Caneca,Concluído,79,2590.07,Redorai
2026-06-16,Junho,2026,Caderno,Concluído,63,2557.50,Redorai
2026-06-17,Junho,2026,Kit onboarding,Em linha,40,2487.76,Redorai
2026-06-17,Junho,2026,Camiseta logo,Concluído,41,2329.77,Redorai
2026-06-17,Junho,2026,Moletom,Concluído,49,3723.48,Redorai
2026-06-17,Junho,2026,Caneca,Em linha,82,2922.14,Redorai
2026-06-17,Junho,2026,Caderno,Em linha,80,3167.02,Redorai
2026-06-18,Junho,2026,Kit onboarding,Em linha,74,2777.90,Redorai
2026-06-18,Junho,2026,Camiseta logo,Concluído,61,2196.71,Redorai
2026-06-18,Junho,2026,Moletom,Retrabalho,39,3065.00,Redorai
2026-06-18,Junho,2026,Caneca,Parado,0,0.00,Redorai
2026-06-18,Junho,2026,Caderno,Concluído,84,4658.70,Redorai
2026-06-19,Junho,2026,Kit onboarding,Em linha,81,5337.02,Redorai
2026-06-19,Junho,2026,Camiseta logo,Concluído,32,1188.87,Redorai
2026-06-19,Junho,2026,Moletom,Concluído,21,999.96,Redorai
2026-06-19,Junho,2026,Caneca,Concluído,47,1909.84,Redorai
2026-06-19,Junho,2026,Caderno,Concluído,31,1988.63,Redorai
2026-06-22,Junho,2026,Kit onboarding,Em linha,40,3041.96,Redorai
2026-06-22,Junho,2026,Camiseta logo,Parado,7,494.38,Redorai
2026-06-22,Junho,2026,Moletom,Concluído,71,5460.45,Redorai
2026-06-22,Junho,2026,Caneca,Em linha,79,1744.79,Redorai
2026-06-22,Junho,2026,Caderno,Concluído,29,1900.00,Redorai
2026-06-23,Junho,2026,Kit onboarding,Concluído,87,4248.37,Redorai
2026-06-23,Junho,2026,Camiseta logo,Concluído,54,3271.73,Redorai
2026-06-23,Junho,2026,Moletom,Em linha,46,1246.62,Redorai
2026-06-23,Junho,2026,Caneca,Em linha,62,1578.09,Redorai
2026-06-23,Junho,2026,Caderno,Retrabalho,66,1913.40,Redorai
2026-06-24,Junho,2026,Kit onboarding,Concluído,66,1621.96,Redorai
2026-06-24,Junho,2026,Camiseta logo,Concluído,66,3775.45,Redorai
2026-06-24,Junho,2026,Moletom,Concluído,28,1980.59,Redorai
2026-06-24,Junho,2026,Caneca,Parado,3,167.99,Redorai
2026-06-24,Junho,2026,Caderno,Em linha,81,5620.87,Redorai
