data,mes,ano,categoria,status,mrr,customer_count,churn_count,valor,empresa
2025-07-01,Julho,2025,Start,Ativa,21656.17,43,0,21656.17,Redorai
2025-07-01,Julho,2025,Start,Trial,470.79,6,0,470.79,Redorai
2025-07-01,Julho,2025,Start,Cancelada,1412.36,5,5,1412.36,Redorai
2025-07-01,Julho,2025,Pro,Ativa,37801.51,30,0,37801.51,Redorai
2025-07-01,Julho,2025,Pro,Trial,821.77,4,0,821.77,Redorai
2025-07-01,Julho,2025,Pro,Cancelada,2465.32,2,2,2465.32,Redorai
2025-07-01,Julho,2025,Scale,Ativa,44609.44,14,0,44609.44,Redorai
2025-07-01,Julho,2025,Scale,Trial,969.77,2,0,969.77,Redorai
2025-07-01,Julho,2025,Scale,Cancelada,2909.31,0,0,2909.31,Redorai
2025-07-01,Julho,2025,Enterprise,Ativa,41957.06,5,0,41957.06,Redorai
2025-07-01,Julho,2025,Enterprise,Trial,912.11,2,0,912.11,Redorai
2025-07-01,Julho,2025,Enterprise,Cancelada,2736.33,0,0,2736.33,Redorai
2025-08-01,Agosto,2025,Start,Ativa,22900.30,46,0,22900.30,Redorai
2025-08-01,Agosto,2025,Start,Trial,497.83,6,0,497.83,Redorai
2025-08-01,Agosto,2025,Start,Cancelada,1493.50,4,4,1493.50,Redorai
2025-08-01,Agosto,2025,Pro,Ativa,38692.50,33,0,38692.50,Redorai
2025-08-01,Agosto,2025,Pro,Trial,841.14,4,0,841.14,Redorai
2025-08-01,Agosto,2025,Pro,Cancelada,2523.42,0,0,2523.42,Redorai
2025-08-01,Agosto,2025,Scale,Ativa,44177.32,14,0,44177.32,Redorai
2025-08-01,Agosto,2025,Scale,Trial,960.38,2,0,960.38,Redorai
2025-08-01,Agosto,2025,Scale,Cancelada,2881.13,0,0,2881.13,Redorai
2025-08-01,Agosto,2025,Enterprise,Ativa,41109.10,5,0,41109.10,Redorai
2025-08-01,Agosto,2025,Enterprise,Trial,893.68,2,0,893.68,Redorai
2025-08-01,Agosto,2025,Enterprise,Cancelada,2681.03,0,0,2681.03,Redorai
2025-09-01,Setembro,2025,Start,Ativa,24513.28,50,0,24513.28,Redorai
2025-09-01,Setembro,2025,Start,Trial,532.90,6,0,532.90,Redorai
2025-09-01,Setembro,2025,Start,Cancelada,1598.69,3,3,1598.69,Redorai
2025-09-01,Setembro,2025,Pro,Ativa,42349.80,33,0,42349.80,Redorai
2025-09-01,Setembro,2025,Pro,Trial,920.65,4,0,920.65,Redorai
2025-09-01,Setembro,2025,Pro,Cancelada,2761.94,2,2,2761.94,Redorai
2025-09-01,Setembro,2025,Scale,Ativa,48055.25,15,0,48055.25,Redorai
2025-09-01,Setembro,2025,Scale,Trial,1044.68,2,0,1044.68,Redorai
2025-09-01,Setembro,2025,Scale,Cancelada,3134.04,0,0,3134.04,Redorai
2025-09-01,Setembro,2025,Enterprise,Ativa,40911.18,5,0,40911.18,Redorai
2025-09-01,Setembro,2025,Enterprise,Trial,889.37,2,0,889.37,Redorai
2025-09-01,Setembro,2025,Enterprise,Cancelada,2668.12,0,0,2668.12,Redorai
2025-10-01,Outubro,2025,Start,Ativa,24985.11,51,0,24985.11,Redorai
2025-10-01,Outubro,2025,Start,Trial,543.15,7,0,543.15,Redorai
2025-10-01,Outubro,2025,Start,Cancelada,1629.46,5,5,1629.46,Redorai
2025-10-01,Outubro,2025,Pro,Ativa,42607.83,36,0,42607.83,Redorai
2025-10-01,Outubro,2025,Pro,Trial,926.26,4,0,926.26,Redorai
2025-10-01,Outubro,2025,Pro,Cancelada,2778.77,1,1,2778.77,Redorai
2025-10-01,Outubro,2025,Scale,Ativa,50405.42,15,0,50405.42,Redorai
2025-10-01,Outubro,2025,Scale,Trial,1095.77,2,0,1095.77,Redorai
2025-10-01,Outubro,2025,Scale,Cancelada,3287.31,1,1,3287.31,Redorai
2025-10-01,Outubro,2025,Enterprise,Ativa,39960.73,5,0,39960.73,Redorai
2025-10-01,Outubro,2025,Enterprise,Trial,868.71,2,0,868.71,Redorai
2025-10-01,Outubro,2025,Enterprise,Cancelada,2606.13,0,0,2606.13,Redorai
2025-11-01,Novembro,2025,Start,Ativa,26620.05,56,0,26620.05,Redorai
2025-11-01,Novembro,2025,Start,Trial,578.70,7,0,578.70,Redorai
2025-11-01,Novembro,2025,Start,Cancelada,1736.09,3,3,1736.09,Redorai
2025-11-01,Novembro,2025,Pro,Ativa,45240.57,38,0,45240.57,Redorai
2025-11-01,Novembro,2025,Pro,Trial,983.49,4,0,983.49,Redorai
2025-11-01,Novembro,2025,Pro,Cancelada,2950.47,1,1,2950.47,Redorai
2025-11-01,Novembro,2025,Scale,Ativa,53455.78,17,0,53455.78,Redorai
2025-11-01,Novembro,2025,Scale,Trial,1162.08,2,0,1162.08,Redorai
2025-11-01,Novembro,2025,Scale,Cancelada,3486.25,0,0,3486.25,Redorai
2025-11-01,Novembro,2025,Enterprise,Ativa,48320.62,6,0,48320.62,Redorai
2025-11-01,Novembro,2025,Enterprise,Trial,1050.45,2,0,1050.45,Redorai
2025-11-01,Novembro,2025,Enterprise,Cancelada,3151.34,0,0,3151.34,Redorai
2025-12-01,Dezembro,2025,Start,Ativa,27829.43,58,0,27829.43,Redorai
2025-12-01,Dezembro,2025,Start,Trial,604.99,7,0,604.99,Redorai
2025-12-01,Dezembro,2025,Start,Cancelada,1814.96,4,4,1814.96,Redorai
2025-12-01,Dezembro,2025,Pro,Ativa,49568.36,40,0,49568.36,Redorai
2025-12-01,Dezembro,2025,Pro,Trial,1077.57,5,0,1077.57,Redorai
2025-12-01,Dezembro,2025,Pro,Cancelada,3232.72,1,1,3232.72,Redorai
2025-12-01,Dezembro,2025,Scale,Ativa,57581.39,18,0,57581.39,Redorai
2025-12-01,Dezembro,2025,Scale,Trial,1251.77,2,0,1251.77,Redorai
2025-12-01,Dezembro,2025,Scale,Cancelada,3755.31,0,0,3755.31,Redorai
2025-12-01,Dezembro,2025,Enterprise,Ativa,48131.20,6,0,48131.20,Redorai
2025-12-01,Dezembro,2025,Enterprise,Trial,1046.33,2,0,1046.33,Redorai
2025-12-01,Dezembro,2025,Enterprise,Cancelada,3138.99,0,0,3138.99,Redorai
2026-01-01,Janeiro,2026,Start,Ativa,29054.52,60,0,29054.52,Redorai
2026-01-01,Janeiro,2026,Start,Trial,631.62,8,0,631.62,Redorai
2026-01-01,Janeiro,2026,Start,Cancelada,1894.86,5,5,1894.86,Redorai
2026-01-01,Janeiro,2026,Pro,Ativa,50109.12,40,0,50109.12,Redorai
2026-01-01,Janeiro,2026,Pro,Trial,1089.33,5,0,1089.33,Redorai
2026-01-01,Janeiro,2026,Pro,Cancelada,3267.99,3,3,3267.99,Redorai
2026-01-01,Janeiro,2026,Scale,Ativa,59322.39,19,0,59322.39,Redorai
2026-01-01,Janeiro,2026,Scale,Trial,1289.62,2,0,1289.62,Redorai
2026-01-01,Janeiro,2026,Scale,Cancelada,3868.85,0,0,3868.85,Redorai
2026-01-01,Janeiro,2026,Enterprise,Ativa,49847.01,6,0,49847.01,Redorai
2026-01-01,Janeiro,2026,Enterprise,Trial,1083.63,2,0,1083.63,Redorai
2026-01-01,Janeiro,2026,Enterprise,Cancelada,3250.89,0,0,3250.89,Redorai
2026-02-01,Fevereiro,2026,Start,Ativa,30100.77,64,0,30100.77,Redorai
2026-02-01,Fevereiro,2026,Start,Trial,654.36,8,0,654.36,Redorai
2026-02-01,Fevereiro,2026,Start,Cancelada,1963.09,4,4,1963.09,Redorai
2026-02-01,Fevereiro,2026,Pro,Ativa,53935.50,43,0,53935.50,Redorai
2026-02-01,Fevereiro,2026,Pro,Trial,1172.51,5,0,1172.51,Redorai
2026-02-01,Fevereiro,2026,Pro,Cancelada,3517.53,2,2,3517.53,Redorai
2026-02-01,Fevereiro,2026,Scale,Ativa,60716.38,19,0,60716.38,Redorai
2026-02-01,Fevereiro,2026,Scale,Trial,1319.92,2,0,1319.92,Redorai
2026-02-01,Fevereiro,2026,Scale,Cancelada,3959.76,0,0,3959.76,Redorai
2026-02-01,Fevereiro,2026,Enterprise,Ativa,58347.07,7,0,58347.07,Redorai
2026-02-01,Fevereiro,2026,Enterprise,Trial,1268.41,2,0,1268.41,Redorai
2026-02-01,Fevereiro,2026,Enterprise,Cancelada,3805.24,0,0,3805.24,Redorai
2026-03-01,Março,2026,Start,Ativa,32514.54,66,0,32514.54,Redorai
2026-03-01,Março,2026,Start,Trial,706.84,8,0,706.84,Redorai
2026-03-01,Março,2026,Start,Cancelada,2120.51,5,5,2120.51,Redorai
2026-03-01,Março,2026,Pro,Ativa,55785.82,44,0,55785.82,Redorai
2026-03-01,Março,2026,Pro,Trial,1212.74,5,0,1212.74,Redorai
2026-03-01,Março,2026,Pro,Cancelada,3638.21,3,3,3638.21,Redorai
